id,trade_date,session,attempt,class,reject_reason
219,2026-09-20,ASIA,1,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — geometry: no_provenance (entry_zone_edges_or_provenance_unusable) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
220,2026-09-20,ASIA,2,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — geometry: no_provenance (entry_zone_edges_or_provenance_unusable) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
221,2026-09-20,ASIA,1,write_time_feasibility_rr,write-time feasibility: S2 would be refused at arm — geometry: rr (gain=3.5000 risk=4.5000 rr=0.777778 min=2.000000) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
222,2026-09-20,ASIA,2,write_time_feasibility_rr,write-time feasibility: S2 would be refused at arm — geometry: rr (gain=3.5000 risk=4.5000 rr=0.777778 min=2.000000) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
223,2026-09-20,ASIA,1,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — geometry: no_provenance (identity_not_valid_in_frozen_map) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
224,2026-09-20,ASIA,2,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — geometry: no_provenance (identity_not_valid_in_frozen_map) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
225,2026-09-20,ASIA,3,schema_field,arm on S1 needs exact entry/stop/target > 0 (got 0.00/0.00/0.00)
226,2026-09-20,ASIA,1,facts_gap_trigger,"gap-up at 30019.75 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
227,2026-09-20,ASIA,2,write_time_feasibility_geometry,write-time feasibility: S1 would be refused at arm — geometry: invalid_geometry (risk=39.5000 gain=-30.0000 stop=29981.5000) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
228,2026-09-20,ASIA,3,schema_field,"scenario economics: S1: entry, protective stop and arm target required with nonzero risk"
229,2026-09-20,ASIA,1,facts_gap_trigger,"gap-up at 30036.00 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
230,2026-09-20,ASIA,2,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — geometry: no_provenance (entry_zone_ambiguous) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
231,2026-09-20,ASIA,1,write_time_feasibility_rr,write-time feasibility: S1 would be refused at arm — geometry: rr (gain=9.7500 risk=12.5000 rr=0.780000 min=2.000000) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
232,2026-09-20,ASIA,2,write_time_feasibility_rr,write-time feasibility: S1 would be refused at arm — geometry: rr (gain=9.7500 risk=12.5000 rr=0.780000 min=2.000000) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
233,2026-09-20,ASIA,1,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — geometry: no_provenance (scenario_level_id_missing) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
234,2026-09-20,ASIA,2,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — geometry: no_provenance (identity_not_valid_in_frozen_map) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
235,2026-09-20,ASIA,1,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — geometry: no_provenance (entry_zone_ambiguous) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
236,2026-09-20,ASIA,2,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — geometry: no_provenance (entry_zone_ambiguous) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
237,2026-09-20,ASIA,1,facts_gap_trigger,"gap-up at 30098.00 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
238,2026-09-20,ASIA,2,schema_field,S1 arm requires the breakdown{} facts object
239,2026-09-20,ASIA,1,schema_field,"scenario economics: S2: entry_zone requires positive [low, high]"
240,2026-09-20,ASIA,2,facts_gap_trigger,"gap-up at 30071.00 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
241,2026-09-20,ASIA,3,born_dead,"born-dead authored scenario: S1: authored condition ""5m close below 30104.75."": 1 completed 5m close(s), last 30078.50 at 2026-09-20 21:40 CT, threshold 30104.75, invalidated=true"
242,2026-09-20,ASIA,1,facts_gap_trigger,"gap-up at 30090.25 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
243,2026-09-20,ASIA,2,schema_field,S1 arm requires the breakdown{} facts object
244,2026-09-20,ASIA,1,write_time_feasibility_rr,write-time feasibility: S1 would be refused at arm — geometry: net_nonpositive (gain=1.0000 cost=2.0000 net=-1.0000); S2 would be refused at arm — geometry: rr (gain=12.5000 risk=8.5000 rr=1.470588 min=2.000000) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
245,2026-09-20,ASIA,2,write_time_feasibility_rr,write-time feasibility: S1 would be refused at arm — geometry: net_nonpositive (gain=1.0000 cost=2.0000 net=-1.0000); S2 would be refused at arm — geometry: rr (gain=12.5000 risk=8.5000 rr=1.470588 min=2.000000) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
246,2026-09-20,ASIA,1,write_time_feasibility_rr,write-time feasibility: S1 would be refused at arm — geometry: rr (gain=5.0000 risk=11.0000 rr=0.454545 min=2.000000) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
247,2026-09-20,ASIA,2,write_time_feasibility_rr,write-time feasibility: S1 would be refused at arm — geometry: rr (gain=5.0000 risk=11.0000 rr=0.454545 min=2.000000) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
248,2026-09-20,ASIA,1,facts_gap_trigger,"gap-up at 30114.00 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
249,2026-09-20,ASIA,2,entry_policy_shape,sweep_reclaim arm on S1 requires wait_confirm:true (the retrace arm must chain on its confirm)
250,2026-09-20,ASIA,3,entry_policy_shape,arm on S1 split requires confirm=touch at the sweep ref (leg 1 rests AT the level)
251,2026-09-21,LONDON,1,facts_gap_trigger,"gap-up at 30107.50 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
252,2026-09-21,LONDON,2,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — quality C below min_scenario_quality B; S2 would be refused at arm — geometry: no_provenance (entry_zone_edges_or_provenance_unusable) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
253,2026-09-21,LONDON,1,write_time_feasibility_rr,write-time feasibility: S1 would be refused at arm — geometry: rr (gain=3.0000 risk=4.5000 rr=0.666667 min=2.000000) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
254,2026-09-21,LONDON,2,write_time_feasibility_rr,"write-time feasibility: S1 would be refused at arm — geometry: rr (gain=3.0000 risk=4.5000 rr=0.666667 min=2.000000); S2 reclaim trigger 30165.25 is already below price 30165.50: a stop entry there fills at market on placement — author the trigger ahead of price, or author a reject/limit at the level — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition"
255,2026-09-21,LONDON,1,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — geometry: no_provenance (entry_zone_edges_or_provenance_unusable); S2 would be refused at arm — geometry: no_provenance (entry_zone_ambiguous) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
256,2026-09-21,LONDON,2,write_time_feasibility_no_provenance,write-time feasibility: S1 would be refused at arm — geometry: no_provenance (entry_zone_edges_or_provenance_unusable); S2 would be refused at arm — geometry: no_provenance (entry_zone_ambiguous) — widen the stop past the min-SL floor / raise the arm R:R / pick a mapped level with an id / choose a different condition
257,2026-09-21,LONDON,1,facts_gap_trigger,"gap-up at 30230.75 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
258,2026-09-21,LONDON,2,entry_policy_shape,S1 arm requires entry_mode=pullback (immediate-mode entries are AI-path only)
259,2026-09-21,LONDON,3,breakdown_tape,"S1 breakup_continue: measured displacement 12.50 pts < BD_MIN_DISP_ATR 1.0×ATR5m (16.2 pts) — not a displacement move, author a normal `reject` play instead (do NOT combine condition names; `reject_retest` is not a valid condition)"
260,2026-09-21,LONDON,1,facts_gap_trigger,"gap-up at 30245.25 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
261,2026-09-21,LONDON,2,entry_policy_shape,"arm enabled on non-armable condition ""breakout_retest"" (fvg_entry | reject | breakdown_continue | breakup_continue; sweep_reclaim via wait_confirm; breakout_retest is a normal AI play and never arms — GAR-F4)"
262,2026-09-21,LONDON,1,facts_gap_trigger,"gap-up at 30246.75 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
263,2026-09-21,LONDON,2,schema_field,S1 arm requires the breakdown{} facts object
264,2026-09-21,LONDON,1,facts_gap_trigger,"gap-up at 30255.50 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below"
