row_id,arm,model,cap,wall_s,ttfb_s,prompt_tok,completion_tok,reasoning_chars,finish,core_pass,core_reject,full_pass,full_reject,entry_dists_pts,entry_dists_xatr5m,born_dead,err
219,a-pro-65536,deepseek-v4-pro,65536,291.44,0.00,56703,33461,108997,stop,true,,true,,33.25;-236.34,0.11;-0.81,,
219,b-flash-65536,deepseek-flash,65536,272.78,0.00,56637,64315,197103,stop,true,,true,,33.25;-76.13;-225.25,0.11;-0.26;-0.77,,
221,a-pro-65536,deepseek-v4-pro,65536,308.04,0.00,49537,36536,115711,stop,true,,false,"born-dead/flip-met: invalidation grammar refusal: 1 scenario invalidation line(s) outside the grammar — S2 invalid ""5m close back below 29993.50 (PDH) abandons the breakout."" — rewrite EACH as exactly one of: 5m close above <price> | 5m close below <price> | 2x5m close above <price> | 2x5m close below <price> (one plain number, nothing else)",4.91;-29982.00;35.63,0.02;-102.63;0.12,"yes (invalidation grammar refusal: 1 scenario invalidation line(s) outside the grammar — S2 invalid ""5m close back below 29993.50 (PDH) abandons the breakout."" — rewrite EACH as exactly one of: 5m close above <price> | 5m close below <price> | 2x5m close above <price> | 2x5m close below <price> (one plain number, nothing else))",
221,b-flash-65536,deepseek-flash,65536,287.50,0.00,49471,65536,210221,length,false,,false,,,,na (never reached the write-time legs),
221,c-flash-131072,deepseek-flash,131072,203.27,0.00,49471,48008,146224,stop,true,,false,"born-dead/flip-met: invalidation grammar refusal: 3 scenario invalidation line(s) outside the grammar — S1 invalid ""5m close above 30017.63 (acceptance over VWAP+2σ) — the sweep is being squeezed; flatten.""; S2 invalid ""5m close above 30008.00 (ONH) — the extension is being accepted; stand down.""; S3 invalid ""5m close below 29894.77 (VWAP−2σ) — the low is being accepted; cut."" — rewrite EACH as exactly one of: 5m close above <price> | 5m close below <price> | 2x5m close above <price> | 2x5m close below <price> (one plain number, nothing else)",26.00;4.91;-78.50,0.09;0.02;-0.27,"yes (invalidation grammar refusal: 3 scenario invalidation line(s) outside the grammar — S1 invalid ""5m close above 30017.63 (acceptance over VWAP+2σ) — the sweep is being squeezed; flatten.""; S2 invalid ""5m close above 30008.00 (ONH) — the extension is being accepted; stand down.""; S3 invalid ""5m close below 29894.77 (VWAP−2σ) — the low is being accepted; cut."" — rewrite EACH as exactly one of: 5m close above <price> | 5m close below <price> | 2x5m close above <price> | 2x5m close below <price> (one plain number, nothing else))",
223,a-pro-65536,deepseek-v4-pro,65536,266.74,0.00,52562,27939,87362,stop,false,"facts: gap-up at 30021.25 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below",false,,,,na (never reached the write-time legs),
223,b-flash-65536,deepseek-flash,65536,300.70,0.00,52496,65536,213566,length,false,,false,,,,na (never reached the write-time legs),
226,a-pro-65536,deepseek-v4-pro,65536,192.29,0.00,58595,22753,73159,stop,false,"facts: gap-up at 30019.75 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below",false,,,,na (never reached the write-time legs),
226,b-flash-65536,deepseek-flash,65536,253.65,0.00,58529,54678,177892,stop,true,,false,"born-dead/flip-met: invalidation grammar refusal: 2 scenario invalidation line(s) outside the grammar — S1 invalid ""5m close below 29986.12 (VWAP) after the touch — shelf failed, stand down.""; S2 invalid ""5m close back below 30021.00 (VWAP+1σ) after the break — false break."" — rewrite EACH as exactly one of: 5m close above <price> | 5m close below <price> | 2x5m close above <price> | 2x5m close below <price> (one plain number, nothing else)",-26.25;-30019.75,-0.09;-106.22,"yes (invalidation grammar refusal: 2 scenario invalidation line(s) outside the grammar — S1 invalid ""5m close below 29986.12 (VWAP) after the touch — shelf failed, stand down.""; S2 invalid ""5m close back below 30021.00 (VWAP+1σ) after the break — false break."" — rewrite EACH as exactly one of: 5m close above <price> | 5m close below <price> | 2x5m close above <price> | 2x5m close below <price> (one plain number, nothing else))",
229,a-pro-65536,deepseek-v4-pro,65536,318.48,0.00,62112,37291,118615,stop,false,"facts: gap-up at 30036.00 (> PDH 29993.50): the long scenario's trigger must reference a level ≥ current price (breakout/retest), not a dip back below",false,,,,na (never reached the write-time legs),
229,b-flash-65536,deepseek-flash,65536,295.46,0.00,62046,65536,210698,length,false,parse: no JSON object found in planner output,false,,,,na (never reached the write-time legs),
